iter	Passed	Remaining
0	648	648333
1	653	325876
2	658	218739
3	663	165164
4	667	132768
5	670	111094
6	678	96283
7	682	84598
8	685	75515
9	689	68296
10	693	62391
11	697	57419
12	701	53292
13	705	49695
14	709	46613
15	714	43951
16	722	41769
17	726	39632
18	735	37972
19	745	36513
20	750	34968
21	754	33561
22	763	32421
23	766	31187
24	773	30168
25	783	29358
26	801	28878
27	814	28275
28	828	27730
29	846	27357
30	852	26651
31	862	26096
32	869	25481
33	873	24827
34	879	24239
35	889	23824
36	896	23322
37	900	22785
38	903	22270
39	907	21778
40	914	21382
41	919	20980
42	923	20557
43	927	20148
44	932	19794
45	938	19472
46	950	19264
47	957	18989
48	961	18663
49	965	18352
50	970	18061
51	975	17776
52	980	17525
53	989	17338
54	994	17082
55	998	16836
56	1004	16617
57	1009	16395
58	1013	16170
59	1023	16040
60	1028	15835
61	1033	15641
62	1040	15472
63	1044	15277
64	1052	15140
65	1056	14952
66	1060	14766
67	1068	14642
68	1072	14473
69	1077	14315
70	1081	14146
71	1084	13975
72	1087	13812
73	1092	13667
74	1095	13511
75	1098	13361
76	1102	13212
77	1106	13083
78	1113	12982
79	1116	12843
80	1120	12707
81	1125	12595
82	1128	12471
83	1135	12383
84	1142	12294
85	1146	12183
86	1151	12079
87	1155	11971
88	1162	11900
89	1166	11794
90	1170	11690
91	1175	11599
92	1179	11506
93	1183	11407
94	1187	11310
95	1191	11216
96	1194	11119
97	1197	11022
98	1204	10963
99	1207	10870
100	1211	10781
101	1215	10697
102	1218	10611
103	1221	10527
104	1225	10444
105	1228	10361
106	1232	10284
107	1235	10206
108	1238	10126
109	1242	10049
110	1245	9975
111	1250	9912
112	1255	9856
113	1258	9781
114	1262	9713
115	1265	9642
116	1268	9572
117	1271	9506
118	1276	9453
119	1280	9392
120	1284	9329
121	1287	9266
122	1293	9219
123	1299	9180
124	1307	9155
125	1312	9103
126	1317	9055
127	1324	9022
128	1328	8967
129	1335	8934
130	1339	8882
131	1343	8832
132	1350	8803
133	1356	8766
134	1362	8728
135	1367	8684
136	1371	8638
137	1376	8596
138	1381	8554
139	1390	8541
140	1398	8519
141	1402	8474
142	1406	8427
143	1409	8377
144	1412	8331
145	1416	8287
146	1419	8238
147	1423	8196
148	1426	8148
149	1429	8102
150	1435	8073
151	1439	8029
152	1442	7987
153	1446	7947
154	1450	7905
155	1453	7862
156	1456	7820
157	1459	7778
158	1465	7752
159	1469	7713
160	1472	7673
161	1476	7636
162	1481	7608
163	1485	7572
164	1488	7534
165	1492	7497
166	1495	7459
167	1499	7427
168	1506	7409
169	1510	7376
170	1515	7346
171	1518	7311
172	1522	7275
173	1525	7243
174	1529	7210
175	1533	7180
176	1539	7158
177	1543	7126
178	1548	7100
179	1554	7082
180	1559	7057
181	1564	7032
182	1567	6999
183	1572	6971
184	1578	6954
185	1581	6923
186	1587	6901
187	1591	6871
188	1593	6839
189	1596	6808
190	1601	6781
191	1604	6750
192	1607	6721
193	1610	6692
194	1615	6667
195	1618	6639
196	1621	6610
197	1625	6582
198	1628	6553
199	1631	6526
200	1638	6513
201	1641	6485
202	1644	6457
203	1648	6431
204	1651	6405
205	1654	6378
206	1658	6355
207	1663	6332
208	1669	6318
209	1672	6291
210	1675	6266
211	1679	6241
212	1682	6216
213	1685	6191
214	1689	6169
215	1696	6157
216	1700	6136
217	1704	6113
218	1709	6097
219	1713	6074
220	1716	6050
221	1724	6044
222	1728	6022
223	1731	5998
224	1739	5991
225	1746	5981
226	1757	5986
227	1771	5999
228	1775	5976
229	1780	5960
230	1785	5944
231	1792	5934
232	1798	5920
233	1803	5904
234	1810	5893
235	1814	5873
236	1818	5854
237	1822	5836
238	1826	5815
239	1830	5795
240	1834	5776
241	1838	5757
242	1841	5736
243	1844	5716
244	1850	5701
245	1854	5684
246	1859	5667
247	1863	5649
248	1869	5639
249	1873	5621
250	1884	5624
251	1891	5614
252	1896	5598
253	1904	5594
254	1910	5582
255	1916	5570
256	1925	5566
257	1934	5563
258	1938	5545
259	1943	5530
260	1948	5516
261	1956	5510
262	1962	5500
263	1966	5482
264	1970	5464
265	1974	5448
266	1978	5430
267	1983	5418
268	1993	5416
269	1996	5398
270	2000	5382
271	2006	5371
272	2011	5356
273	2014	5338
274	2017	5320
275	2023	5307
276	2029	5296
277	2032	5278
278	2038	5267
279	2043	5253
280	2046	5236
281	2049	5219
282	2060	5219
283	2067	5211
284	2079	5216
285	2087	5211
286	2099	5215
287	2103	5201
288	2108	5187
289	2113	5173
290	2117	5160
291	2131	5167
292	2142	5170
293	2148	5159
294	2153	5146
295	2157	5131
296	2165	5124
297	2170	5112
298	2176	5102
299	2186	5100
300	2191	5089
301	2201	5087
302	2206	5076
303	2210	5061
304	2216	5049
305	2219	5034
306	2229	5033
307	2238	5028
308	2242	5014
309	2249	5007
310	2253	4992
311	2257	4977
312	2263	4967
313	2270	4961
314	2288	4975
315	2294	4966
316	2299	4954
317	2304	4941
318	2308	4928
319	2314	4917
320	2318	4904
321	2325	4895
322	2337	4898
323	2345	4894
324	2350	4880
325	2354	4868
326	2364	4865
327	2369	4853
328	2373	4840
329	2379	4831
330	2383	4816
331	2393	4815
332	2399	4805
333	2402	4791
334	2406	4777
335	2413	4769
336	2417	4756
337	2421	4742
338	2425	4729
339	2429	4715
340	2432	4700
341	2435	4686
342	2438	4671
343	2442	4657
