iter	RMSE
0	110887.3569
1	107034.7738
2	103511.2091
3	100340.076
4	97323.39729
5	94686.81375
6	92358.98695
7	90159.96263
8	88092.6623
9	86266.92839
10	84668.58647
11	83236.75924
12	81943.59684
13	80727.79644
14	79608.0518
15	78608.74785
16	77700.45488
17	76882.46792
18	76222.58653
19	75581.77708
20	75005.41567
21	74484.28504
22	73913.7441
23	73507.00768
24	73099.10922
25	72710.8921
26	72340.17314
27	71952.21801
28	71650.808
29	71422.14408
30	71181.43247
31	70964.85692
32	70684.08386
33	70494.0106
34	70260.80525
35	70129.06837
36	69946.3581
37	69783.82814
38	69597.58242
39	69424.87741
40	69280.03401
41	69196.61282
42	69061.48403
43	68947.62121
44	68799.24367
45	68673.7113
46	68572.55382
47	68495.1582
48	68400.4849
49	68296.28767
50	68137.94198
51	68058.68398
52	68001.46945
53	67889.36864
54	67778.10169
55	67687.31119
56	67624.89233
57	67505.48431
58	67455.88205
59	67421.41772
60	67380.89604
61	67308.37211
62	67229.70434
63	67136.01427
64	67093.37482
65	67023.00263
66	66983.53713
67	66918.89942
68	66863.29489
69	66810.717
70	66724.67295
71	66677.29533
72	66632.77568
73	66598.46258
74	66563.64843
75	66514.31454
76	66475.33193
77	66386.98574
78	66316.02856
79	66281.80853
80	66243.98592
81	66169.59884
82	66129.44539
83	66089.96181
84	66048.69686
85	66018.5337
86	65989.32301
87	65966.68998
88	65928.07823
89	65878.69606
90	65855.34487
91	65813.09355
92	65783.35425
93	65746.20529
94	65720.12111
95	65703.93232
96	65658.64158
97	65639.37786
98	65590.45635
99	65526.36978
100	65502.08658
101	65495.53216
102	65459.66802
103	65434.67956
104	65394.96452
105	65377.01151
106	65357.6765
107	65325.32938
108	65285.94635
109	65239.9493
110	65218.92694
111	65177.44837
112	65147.41409
113	65121.03666
114	65103.15692
115	65080.51671
116	65027.6279
117	65002.10321
118	64974.32495
119	64927.65328
120	64902.7497
121	64879.34274
122	64850.56893
123	64841.05846
124	64816.37269
125	64784.28888
126	64740.38895
127	64703.52822
128	64687.66999
129	64662.52229
130	64626.89289
131	64605.56251
132	64582.03461
133	64561.54945
134	64537.06243
135	64521.34814
136	64488.32512
137	64470.53539
138	64447.87553
139	64438.46131
140	64426.44938
141	64407.94975
142	64381.31141
143	64351.35946
144	64325.67746
145	64308.56536
146	64288.44153
147	64252.91315
148	64224.13423
149	64215.8724
150	64196.2978
151	64172.38056
152	64157.86033
153	64150.94763
154	64123.23005
155	64094.06379
156	64072.75048
157	64060.53316
158	64031.20193
159	64008.16944
160	63988.36446
161	63973.88047
162	63956.63627
163	63943.89064
164	63911.26968
165	63899.49985
166	63876.13362
167	63853.1729
168	63830.47172
169	63815.36992
170	63805.82358
171	63794.32576
172	63767.71506
173	63743.60926
174	63739.07212
175	63714.44908
176	63693.70036
177	63685.45529
178	63663.50661
179	63646.89993
180	63627.53102
181	63603.55551
182	63588.9099
183	63577.71386
184	63569.83648
185	63557.87354
186	63532.69095
187	63507.75995
188	63488.37209
189	63483.56892
190	63472.84698
191	63468.38906
192	63449.69387
193	63437.81343
194	63416.9326
195	63397.15483
196	63374.77071
197	63357.95179
198	63349.80898
199	63327.63202
200	63308.00516
201	63298.77859
202	63281.65276
203	63269.02589
204	63246.77315
205	63230.50982
206	63212.90364
207	63191.86664
208	63175.24328
209	63159.932
210	63143.10319
211	63123.16365
212	63101.87039
213	63085.09533
214	63071.3143
215	63062.00678
216	63044.92897
217	63027.51707
218	63008.39019
219	62995.15293
220	62977.4279
221	62966.02814
222	62948.69485
223	62930.72185
224	62915.81708
225	62912.01984
226	62889.43918
227	62879.24961
228	62868.90879
229	62856.50841
230	62842.31373
231	62829.85085
232	62818.18319
233	62810.00788
234	62795.84014
235	62787.19606
236	62760.19077
237	62748.05415
238	62741.63639
239	62727.48191
240	62711.28576
241	62702.20521
242	62698.25429
243	62687.3074
244	62682.59572
245	62674.05051
246	62660.26199
247	62650.5355
248	62640.28626
249	62625.16397
250	62609.59215
251	62600.65347
252	62597.42915
253	62586.86639
254	62577.4708
255	62564.05932
256	62555.65763
257	62542.18831
258	62533.98327
259	62526.06282
260	62517.48427
261	62502.41864
262	62497.81512
263	62484.60442
264	62479.92319
265	62469.44328
266	62457.10521
267	62447.1895
268	62426.79492
269	62419.84098
270	62412.33278
271	62403.62967
272	62392.82186
273	62381.88276
274	62367.38015
275	62357.53522
276	62349.82699
277	62338.93043
278	62323.8501
279	62312.11501
280	62304.23093
281	62292.72752
282	62281.64297
283	62271.24645
284	62260.48576
285	62246.75329
286	62228.48247
287	62224.33146
288	62210.45734
289	62202.45037
290	62193.07812
291	62184.51971
292	62174.1191
293	62161.3402
294	62150.71392
295	62144.80513
296	62136.65883
297	62131.51347
298	62116.83071
299	62105.23837
300	62095.85776
301	62086.52642
302	62079.1674
303	62060.35981
304	62052.68597
305	62043.22192
306	62034.50488
307	62029.16636
308	62022.50051
309	62012.4118
310	62007.0486
311	61997.43222
312	61983.58729
313	61976.49214
314	61966.22596
315	61953.50083
316	61938.49063
317	61932.90858
318	61920.80778
319	61914.33071
320	61909.6952
321	61889.15285
322	61881.33259
323	61869.13106
324	61856.32782
325	61848.09091
326	61839.669
327	61832.09997
328	61823.79559
329	61810.26367
330	61800.92703
331	61794.87133
332	61785.91585
333	61778.32566
334	61765.04182
335	61760.02898
336	61755.1811
337	61734.51931
338	61726.74682
339	61722.57524
340	61713.74091
341	61702.79942
342	61696.07346
343	61691.70055
344	61677.73972
345	61669.73123
346	61663.02244
347	61651.25796
348	61644.90929
349	61637.16631
350	61628.98802
351	61616.99119
352	61608.72841
353	61598.6157
354	61592.6839
355	61584.45899
356	61577.75532
357	61570.81798
358	61561.69851
359	61551.45118
360	61543.89606
361	61537.29405
362	61532.30008
363	61520.00847
364	61516.61807
365	61506.33338
366	61498.14615
367	61492.45531
368	61476.96677
369	61467.21296
370	61461.4773
371	61451.29983
372	61445.57444
373	61436.03928
374	61424.34151
375	61420.59795
376	61413.05987
377	61399.49832
378	61393.76931
379	61388.77616
380	61383.08493
381	61372.14473
382	61363.11763
383	61354.06254
384	61347.23166
385	61345.63739
386	61338.30607
387	61331.16243
388	61323.74304
389	61315.99675
390	61310.75206
391	61305.25733
392	61298.0692
393	61294.29026
394	61287.76937
395	61280.39049
396	61265.42369
397	61259.10043
398	61253.84389
399	61242.82592
400	61227.08639
401	61215.85589
402	61207.61094
403	61200.89761
404	61189.00004
405	61182.87837
406	61176.91996
407	61171.81729
408	61165.54198
409	61158.12338
410	61148.38974
411	61141.28817
412	61136.28251
413	61129.17664
414	61122.63076
415	61116.92401
416	61109.37035
417	61103.31575
418	61098.17534
419	61088.67566
420	61076.02079
421	61072.31947
422	61067.58188
423	61056.27664
424	61050.99964
425	61049.23331
426	61046.10404
427	61039.07547
428	61030.91588
429	61023.27045
430	61018.36909
431	61012.48966
432	61007.00128
433	61000.67394
434	60992.01233
435	60987.19445
436	60981.27456
437	60969.73172
438	60962.29395
439	60955.82108
440	60950.65417
441	60948.02131
442	60940.82623
443	60931.20944
444	60928.05597
445	60916.40953
446	60911.28815
447	60906.66451
448	60899.71758
449	60891.1413
450	60886.44585
451	60879.92829
452	60869.77113
453	60864.57719
454	60855.28915
455	60848.39221
456	60843.68793
457	60836.59836
458	60833.86663
459	60824.86244
460	60813.65706
461	60804.80092
462	60802.44204
463	60796.40703
464	60788.55676
465	60781.25963
466	60775.44895
467	60768.1699
468	60758.40677
469	60751.229
470	60746.91028
471	60740.53795
472	60729.57939
473	60723.47992
474	60718.71122
475	60715.3213
476	60711.58816
477	60705.92205
478	60698.76117
479	60691.61873
480	60678.90214
481	60671.48078
482	60669.59004
483	60663.49978
484	60654.66152
485	60649.49088
486	60644.86632
487	60639.80091
488	60625.83216
489	60619.5988
490	60618.15399
491	60613.48385
492	60600.98949
493	60591.54001
494	60586.2833
495	60576.87012
496	60575.25231
497	60571.34994
498	60567.49185
499	60562.46042
500	60559.26729
501	60554.60518
502	60550.29582
503	60543.9105
504	60535.39951
505	60529.84498
506	60526.18401
507	60520.43267
508	60514.65255
509	60510.73847
510	60508.95793
511	60505.97649
512	60500.20941
513	60494.54091
514	60488.79946
515	60480.98505
516	60473.66418
517	60466.75283
518	60459.77299
519	60453.59609
520	60448.31547
521	60442.11498
522	60440.62522
523	60430.50223
524	60426.81318
525	60421.52549
526	60416.76468
527	60412.17873
528	60401.62363
529	60397.2183
530	60391.14975
531	60386.39659
532	60382.67398
533	60376.29515
534	60371.57818
535	60360.65381
536	60356.07645
537	60351.6126
538	60345.60474
539	60338.13437
540	60333.13344
541	60328.87303
542	60327.92652
543	60322.7393
544	60320.26495
545	60319.12162
546	60316.12415
547	60309.39383
548	60300.09353
549	60292.50416
550	60287.38836
551	60280.65134
552	60278.14781
553	60274.28473
554	60267.99941
555	60265.22628
556	60255.27685
557	60250.11815
558	60243.36202
559	60237.84206
560	60229.56106
561	60223.77084
562	60219.1185
563	60214.26083
564	60211.82902
565	60205.55379
566	60198.79605
567	60192.82653
568	60188.02107
569	60183.79944
570	60180.04986
571	60175.80909
572	60167.35129
573	60162.06062
574	60154.6962
575	60148.78659
576	60145.06552
577	60140.45399
578	60139.00387
579	60134.76619
580	60131.79828
581	60127.76105
582	60123.66631
583	60118.16559
584	60111.90094
585	60105.00936
586	60098.24927
587	60088.91338
588	60084.13289
589	60077.63054
590	60072.0984
591	60066.55883
592	60060.97475
593	60055.48502
594	60052.42418
595	60049.32055
596	60045.0091
597	60039.81256
598	60032.50881
599	60027.87284
600	60021.98072
601	60017.14226
602	60008.52926
603	59999.41322
604	59993.65597
605	59991.83382
606	59988.12334
607	59982.3957
608	59974.77025
609	59965.27942
610	59963.3968
611	59956.0825
612	59951.06473
613	59947.44109
614	59937.40386
615	59925.74229
616	59919.47023
617	59912.77212
618	59909.55834
619	59904.1692
620	59898.38391
621	59893.06933
622	59890.21605
623	59885.95729
624	59880.30935
625	59871.43429
626	59864.09822
627	59855.2672
628	59851.39045
629	59843.30063
630	59840.34213
631	59830.639
632	59825.8953
633	59820.02164
634	59811.90898
635	59805.00457
636	59798.47093
637	59791.29673
638	59789.41091
639	59785.04092
640	59781.46166
641	59779.74098
642	59775.55693
643	59769.30477
644	59762.7905
645	59756.06662
646	59753.42897
647	59743.10722
648	59736.54159
649	59729.89617
650	59723.37286
651	59715.97767
652	59710.79947
653	59706.85031
654	59702.03891
655	59699.03269
656	59694.23348
657	59687.92439
658	59682.20955
659	59677.14106
660	59672.38003
661	59665.6355
662	59660.44747
663	59653.75764
664	59646.8387
665	59640.62295
666	59633.32528
667	59630.85594
668	59627.16299
669	59621.27716
670	59618.56049
671	59616.93992
672	59612.83975
673	59607.28562
674	59604.48324
675	59597.79402
676	59593.88215
677	59591.92542
678	59586.94906
679	59582.108
680	59580.14167
681	59576.98091
682	59570.36759
683	59566.111
684	59560.54421
685	59552.11538
686	59548.08519
687	59542.41731
688	59535.58142
689	59529.76138
690	59529.04872
691	59524.09287
692	59516.40429
693	59513.05297
694	59506.33306
695	59502.41961
696	59497.94931
697	59491.77858
698	59484.64441
699	59483.76987
700	59477.18601
701	59472.08681
702	59463.08121
703	59458.76534
704	59455.62575
705	59449.46682
706	59448.04951
707	59443.72926
708	59439.18394
709	59430.35959
710	59422.60767
711	59417.88495
712	59414.55539
713	59408.52338
714	59403.31859
715	59394.51718
716	59388.2145
717	59380.17397
718	59374.93671
719	59371.63741
720	59364.4246
721	59358.55348
722	59352.73731
723	59346.89961
724	59342.78038
725	59339.51319
726	59337.96354
727	59335.92687
728	59332.56034
729	59326.98464
730	59325.02554
731	59323.75981
732	59317.85232
733	59313.17858
734	59307.82155
735	59301.43649
736	59295.43453
737	59289.33352
738	59285.48127
739	59281.62546
740	59274.39192
741	59269.15907
742	59264.06704
743	59257.15209
744	59250.30933
745	59245.49372
746	59240.95743
747	59234.0683
748	59231.04661
749	59226.03839
750	59223.06992
751	59217.29567
752	59214.70114
753	59208.80797
754	59204.17698
755	59198.49483
756	59190.72435
757	59187.23399
758	59182.11348
759	59178.6346
760	59175.27241
761	59170.03281
762	59164.34079
763	59159.90761
764	59155.68173
765	59152.52005
766	59150.23878
767	59143.36249
768	59136.01195
769	59131.69708
770	59125.93619
771	59121.66449
772	59114.97082
773	59110.53744
774	59106.35584
775	59102.88212
776	59093.65177
777	59089.34671
778	59083.77568
779	59080.98165
780	59070.0875
781	59066.53433
782	59062.46863
783	59058.12449
784	59056.21762
785	59054.64034
786	59050.5087
787	59049.48509
788	59046.76971
789	59038.97778
790	59034.08609
791	59029.9092
792	59025.59078
793	59024.59059
794	59023.36309
795	59020.66747
796	59017.52468
797	59016.48933
798	59010.84271
799	59006.31004
800	59001.26024
801	58997.69036
802	58990.64263
803	58983.01821
804	58978.01953
805	58974.58902
806	58971.52816
807	58968.28702
808	58963.0324
809	58959.84585
810	58951.25459
811	58943.27986
812	58937.6822
813	58934.83497
814	58931.78826
815	58928.80997
816	58925.05084
817	58924.19904
818	58914.98458
819	58910.82136
820	58906.65786
821	58903.4692
822	58899.16282
823	58897.93765
824	58890.62342
825	58887.39878
826	58883.1178
827	58873.5316
828	58867.01369
829	58864.32776
830	58860.3143
831	58854.47898
832	58850.91323
833	58847.9069
834	58843.30888
835	58838.87225
836	58837.2955
837	58835.56043
838	58831.93046
839	58825.36159
840	58823.28963
841	58820.67472
842	58817.42535
843	58810.48519
844	58806.68514
845	58800.534
846	58797.46028
847	58794.24817
848	58787.94437
849	58785.01067
850	58780.96211
851	58776.62093
852	58774.05449
853	58770.3889
854	58764.56118
855	58760.28434
856	58758.14316
857	58754.72475
858	58752.09646
859	58749.38406
860	58747.03807
861	58743.17811
862	58738.18481
863	58735.25731
864	58733.54312
865	58730.43068
866	58728.0791
867	58724.60547
868	58722.01519
869	58717.70871
870	58713.57682
871	58709.90588
872	58706.73983
873	58702.70929
874	58699.88616
875	58692.16632
876	58689.33765
877	58685.86082
878	58682.12137
879	58675.74194
880	58673.44491
881	58669.30686
882	58668.35194
883	58662.98086
884	58657.16582
885	58652.85357
886	58649.13637
887	58645.28903
888	58643.50293
889	58638.70425
