iter	Passed	Remaining
0	49	49536
1	52	26071
2	54	18276
3	57	14281
4	60	11994
5	65	10827
6	68	9673
7	70	8786
8	73	8126
9	76	7612
10	82	7400
11	85	7076
12	88	6742
13	91	6471
14	94	6216
15	97	5987
16	99	5781
17	102	5611
18	106	5478
19	113	5563
20	116	5419
21	119	5295
22	121	5178
23	124	5067
24	127	4977
25	130	4883
26	133	4794
27	136	4721
28	143	4804
29	146	4723
30	148	4647
31	151	4578
32	154	4514
33	156	4459
34	159	4402
35	162	4346
36	165	4303
37	170	4303
38	174	4309
39	177	4262
40	180	4223
41	183	4186
42	186	4144
43	188	4106
44	191	4071
45	194	4035
46	197	4009
47	202	4011
48	207	4021
49	209	3989
50	212	3955
51	215	3925
52	218	3897
53	220	3869
54	223	3845
55	227	3833
56	232	3848
57	236	3838
58	239	3813
59	241	3787
60	244	3762
61	247	3741
62	249	3717
63	252	3699
64	256	3695
65	262	3712
66	266	3712
67	269	3690
68	272	3670
69	274	3651
70	277	3631
71	280	3611
72	282	3593
73	286	3582
74	291	3598
75	295	3587
76	297	3571
77	300	3552
78	303	3536
79	306	3520
80	308	3505
81	311	3490
82	314	3475
83	320	3495
84	324	3495
85	327	3480
86	330	3465
87	332	3450
88	335	3435
89	338	3420
90	341	3406
91	343	3394
92	347	3386
93	351	3386
94	356	3393
95	359	3382
96	362	3370
97	364	3357
98	367	3345
99	370	3332
100	372	3319
101	376	3317
102	382	3334
103	386	3327
104	388	3315
105	391	3304
106	394	3292
107	397	3281
108	400	3271
109	402	3259
110	406	3259
111	413	3279
112	416	3270
113	419	3259
114	422	3248
115	424	3237
116	427	3227
117	430	3217
118	433	3207
119	436	3202
120	440	3203
121	445	3208
122	448	3197
123	451	3187
124	453	3177
125	456	3167
126	459	3158
127	462	3148
128	465	3141
129	470	3151
130	474	3147
131	477	3138
132	479	3128
133	482	3118
134	485	3109
135	487	3099
136	490	3090
137	493	3081
138	498	3088
139	503	3093
140	506	3083
141	508	3074
142	511	3065
143	514	3057
144	516	3048
145	519	3040
146	522	3032
147	525	3027
148	530	3031
149	534	3029
150	537	3021
151	540	3013
152	543	3006
153	545	2998
154	548	2990
155	551	2983
156	558	3001
157	562	2997
158	565	2990
159	568	2982
160	571	2976
161	573	2968
162	576	2961
163	579	2954
164	582	2947
165	585	2942
166	591	2952
167	594	2944
168	597	2936
169	599	2928
170	602	2921
171	605	2913
172	608	2906
173	610	2899
174	613	2894
175	620	2906
176	623	2899
177	626	2892
178	629	2885
179	631	2878
180	634	2871
181	637	2864
182	640	2857
183	643	2854
184	649	2861
185	652	2856
186	655	2849
187	658	2842
188	660	2835
189	663	2828
190	666	2822
191	668	2815
192	671	2808
193	675	2805
194	681	2815
195	684	2809
196	687	2803
197	690	2797
198	693	2790
199	696	2784
200	698	2777
201	701	2772
202	709	2786
203	712	2779
204	715	2773
205	717	2766
206	720	2760
207	723	2754
208	726	2748
209	729	2742
210	731	2736
211	738	2745
212	741	2740
213	744	2734
214	747	2728
215	749	2721
216	752	2715
217	755	2709
218	757	2702
219	760	2696
220	768	2710
221	771	2705
222	774	2699
223	777	2693
224	780	2686
225	782	2681
226	785	2675
227	788	2669
228	791	2664
229	797	2668
230	801	2669
231	804	2663
232	807	2657
233	809	2651
234	812	2645
235	815	2640
236	818	2634
237	821	2629
238	829	2639
239	831	2633
240	834	2628
241	837	2622
242	840	2616
243	842	2611
244	845	2605
245	848	2599
246	851	2594
247	859	2605
248	862	2600
249	864	2593
250	867	2588
251	870	2583
252	873	2578
253	875	2572
254	878	2567
255	881	2561
256	889	2572
257	892	2566
258	895	2560
259	897	2555
260	900	2550
261	903	2544
262	906	2539
263	908	2533
264	911	2528
265	917	2532
266	921	2530
267	924	2524
268	927	2519
269	929	2514
270	932	2509
271	935	2503
272	938	2498
273	940	2493
274	949	2502
275	952	2497
276	954	2492
277	957	2487
278	960	2482
279	963	2477
280	966	2472
281	968	2466
282	971	2462
283	980	2470
284	983	2466
285	985	2461
286	988	2455
287	991	2450
288	994	2445
289	996	2440
290	999	2434
291	1002	2429
292	1009	2436
293	1012	2431
294	1015	2426
295	1017	2420
296	1020	2415
297	1023	2410
298	1025	2405
299	1028	2400
300	1031	2394
301	1034	2391
302	1040	2394
303	1043	2388
304	1046	2383
305	1048	2378
306	1051	2373
307	1054	2368
308	1056	2363
309	1059	2358
310	1062	2354
311	1071	2361
312	1073	2356
313	1076	2352
314	1079	2346
315	1081	2341
316	1084	2337
317	1087	2331
318	1090	2327
319	1093	2324
320	1100	2328
321	1103	2323
322	1106	2318
323	1108	2313
324	1111	2308
325	1113	2303
326	1116	2298
327	1119	2293
328	1121	2287
329	1129	2294
330	1132	2289
331	1135	2284
332	1138	2280
333	1141	2275
334	1143	2270
335	1146	2266
336	1149	2261
337	1153	2258
338	1158	2259
339	1161	2255
340	1164	2250
341	1167	2246
342	1170	2241
343	1173	2237
344	1175	2232
345	1178	2227
346	1180	2222
347	1185	2221
348	1190	2219
349	1192	2215
350	1195	2210
351	1198	2206
352	1201	2201
353	1203	2196
354	1206	2192
355	1209	2187
356	1216	2190
357	1219	2187
358	1222	2182
359	1225	2178
360	1227	2173
361	1230	2168
362	1233	2164
363	1236	2160
364	1239	2155
365	1243	2153
366	1249	2155
367	1252	2150
368	1254	2145
369	1257	2141
370	1260	2136
371	1262	2132
372	1265	2127
373	1268	2123
374	1271	2119
375	1276	2117
376	1280	2116
377	1283	2112
378	1286	2108
379	1289	2103
380	1291	2098
381	1294	2094
382	1297	2089
383	1299	2085
384	1302	2081
385	1309	2083
386	1312	2079
387	1315	2074
388	1318	2070
389	1320	2065
390	1323	2061
391	1326	2056
392	1328	2052
393	1332	2048
394	1339	2051
395	1342	2046
396	1344	2042
397	1347	2038
398	1350	2033
399	1352	2029
400	1355	2025
401	1358	2020
402	1361	2016
403	1363	2012
404	1366	2007
405	1369	2003
406	1371	1998
407	1374	1994
408	1383	1998
409	1385	1994
410	1388	1990
411	1391	1985
412	1394	1981
413	1397	1977
414	1399	1973
415	1402	1969
416	1405	1965
417	1408	1961
418	1415	1963
419	1418	1958
420	1421	1954
421	1424	1950
422	1426	1946
423	1429	1942
424	1432	1937
425	1434	1933
426	1438	1929
427	1445	1931
428	1447	1927
429	1450	1923
430	1453	1918
431	1456	1914
432	1458	1910
433	1461	1906
434	1464	1901
435	1466	1897
436	1475	1900
437	1478	1896
438	1480	1892
439	1483	1888
440	1486	1883
441	1488	1879
442	1491	1875
443	1494	1871
444	1497	1868
445	1505	1869
446	1508	1865
447	1510	1861
448	1513	1857
449	1516	1853
450	1519	1849
451	1521	1845
452	1524	1841
453	1527	1837
454	1532	1835
455	1535	1831
456	1540	1829
457	1542	1825
458	1545	1821
459	1548	1817
460	1551	1813
461	1553	1809
462	1556	1805
463	1564	1807
464	1567	1803
465	1570	1799
466	1573	1795
467	1575	1791
468	1578	1787
469	1581	1783
470	1584	1779
471	1587	1775
472	1590	1772
473	1596	1771
474	1599	1767
475	1602	1763
476	1604	1759
477	1607	1755
478	1610	1751
479	1613	1747
480	1616	1743
481	1619	1740
482	1626	1741
483	1629	1737
484	1632	1733
485	1634	1729
486	1637	1724
487	1640	1720
488	1642	1716
489	1645	1712
490	1649	1709
491	1653	1707
492	1658	1705
493	1661	1701
494	1664	1697
495	1666	1693
496	1669	1689
497	1672	1685
498	1674	1681
499	1677	1677
500	1680	1673
501	1688	1674
502	1690	1670
503	1693	1666
504	1696	1662
505	1699	1658
506	1701	1654
507	1704	1650
508	1707	1646
509	1710	1643
510	1715	1641
511	1719	1638
512	1721	1634
513	1724	1630
514	1727	1626
515	1730	1622
516	1732	1618
517	1735	1614
518	1738	1611
519	1743	1609
520	1748	1607
521	1750	1603
522	1753	1599
523	1756	1595
524	1759	1591
525	1761	1587
526	1764	1583
527	1767	1579
528	1772	1578
529	1776	1575
530	1779	1571
531	1782	1567
532	1785	1563
533	1787	1560
534	1790	1556
535	1793	1552
536	1796	1548
537	1804	1549
538	1807	1545
539	1809	1541
540	1812	1537
541	1815	1534
542	1818	1530
543	1820	1526
544	1823	1522
545	1826	1518
546	1831	1516
547	1836	1514
548	1839	1511
549	1842	1507
550	1844	1503
551	1847	1499
552	1850	1495
553	1853	1491
554	1855	1488
555	1863	1488
556	1866	1484
557	1869	1480
558	1872	1476
559	1874	1473
560	1877	1469
561	1880	1465
562	1882	1461
563	1885	1457
564	1890	1455
565	1895	1453
566	1897	1449
567	1900	1445
568	1903	1441
569	1905	1437
570	1908	1433
571	1911	1430
572	1913	1426
573	1916	1422
574	1924	1422
575	1927	1418
576	1929	1414
577	1932	1410
578	1934	1406
579	1937	1403
580	1940	1399
581	1943	1395
582	1945	1391
583	1948	1388
584	1954	1386
585	1957	1382
586	1960	1379
587	1962	1375
588	1965	1371
589	1968	1367
590	1970	1364
591	1974	1360
592	1977	1357
593	1984	1356
594	1987	1353
595	1990	1349
596	1993	1345
597	1995	1341
598	1998	1338
599	2001	1334
600	2004	1330
601	2007	1326
602	2014	1326
603	2017	1322
604	2019	1318
605	2022	1315
606	2025	1311
607	2027	1307
608	2030	1303
609	2033	1299
610	2036	1296
611	2039	1292
612	2045	1291
613	2048	1287
614	2051	1284
615	2053	1280
616	2056	1276
617	2059	1272
618	2061	1269
619	2064	1265
620	2067	1261
621	2074	1260
622	2077	1256
623	2079	1253
624	2082	1249
625	2085	1245
626	2087	1242
627	2090	1238
628	2093	1234
629	2096	1231
630	2101	1228
631	2105	1226
632	2108	1222
633	2111	1218
634	2113	1215
635	2116	1211
636	2119	1207
637	2122	1204
638	2124	1200
639	2131	1198
640	2135	1195
641	2137	1192
642	2140	1188
643	2143	1184
644	2145	1181
645	2148	1177
646	2151	1173
647	2154	1170
648	2156	1166
649	2160	1163
650	2164	1160
651	2168	1157
652	2171	1154
653	2174	1150
654	2177	1146
655	2180	1143
656	2182	1139
657	2185	1135
658	2191	1134
659	2195	1131
660	2198	1127
661	2200	1123
662	2203	1120
663	2206	1116
664	2208	1112
665	2211	1109
666	2214	1105
667	2222	1104
668	2225	1101
669	2228	1097
670	2231	1093
671	2233	1090
672	2236	1086
673	2239	1083
674	2242	1079
675	2244	1075
676	2252	1074
677	2255	1071
678	2258	1067
679	2261	1064
680	2263	1060
681	2266	1056
682	2269	1053
683	2272	1049
684	2277	1047
685	2283	1045
686	2286	1041
687	2288	1037
688	2291	1034
689	2294	1030
690	2297	1027
691	2300	1023
692	2303	1020
693	2307	1017
694	2313	1015
695	2316	1011
696	2319	1008
697	2322	1004
698	2324	1001
699	2328	997
700	2330	994
701	2333	990
702	2340	988
703	2343	985
704	2346	981
705	2349	978
706	2351	974
707	2354	971
708	2357	967
709	2359	963
710	2362	960
711	2366	957
712	2372	955
713	2375	951
714	2378	948
715	2381	944
716	2383	940
717	2386	937
